sid,proj_id,run_id,samp_id,strat,tech,body_subsite,subject_id,body_site,body_subsite_int,body_site_int,nreads,nreads_unmapped,primer,n_otus
SRR046869.SRS049891,SRP002395,SRR046869,SRS049891,METAGENOMIC ,AMPLICON,Anterior nares,241854,Airways,0,0,7277,4632,V13/V35,59
SRR045639.SRS014655,SRP002395,SRR045639,SRS014655,METAGENOMIC ,AMPLICON,Buccal mucosa,241720,Oral,3,2,9165,6710,V13/V35,109
SRR048786.SRS063367,SRP002395,SRR048786,SRS063367,METAGENOMIC ,AMPLICON,Throat,268876,Oral,9,2,18103,8036,V13/V35,93
SRR172211.SRS143120,SRP002860,SRR172211,SRS143120,METAGENOMIC ,AMPLICON,Supragingival plaque,241873,Oral,8,2,9173,4508,V13/V35,79
SRR043753.SRS015293,SRP002395,SRR043753,SRS015293,METAGENOMIC ,AMPLICON,Saliva,241787,Oral,6,2,10653,3231,V13/V35,125
SRR045183.SRS011661,SRP002395,SRR045183,SRS011661,METAGENOMIC ,AMPLICON,Buccal mucosa,241764,Oral,3,2,11296,8993,V13/V35,83
SRR044587.SRS018999,SRP002395,SRR044587,SRS018999,METAGENOMIC ,AMPLICON,Subgingival plaque,241778,Oral,7,2,15519,7487,V13/V35,104
SRR045181.SRS011488,SRP002395,SRR045181,SRS011488,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241673,Oral,2,2,8095,3396,V13/V35,26
SRR045543.SRS019566,SRP002395,SRR045543,SRS019566,METAGENOMIC ,AMPLICON,Tongue dorsum,241720,Oral,10,2,11270,4696,V13/V35,102
SRR170232.SRS098612,SRP002860,SRR170232,SRS098612,METAGENOMIC ,AMPLICON,Tongue dorsum,241756,Oral,10,2,9998,4616,V13/V35,68
SRR045921.SRS043804,SRP002395,SRR045921,SRS043804,METAGENOMIC ,AMPLICON,Stool,241886,Gastrointestinal tract,1,1,40127,36651,V13/V35,41
SRR091297.SRS077651,SRP002860,SRR091297,SRS077651,METAGENOMIC ,AMPLICON,Saliva,268874,Oral,6,2,6401,2274,V3-V5,134
SRR044608.SRS015929,SRP002395,SRR044608,SRS015929,METAGENOMIC ,AMPLICON,Supragingival plaque,241778,Oral,8,2,44996,20984,V13/V35,105
SRR171213.SRS144024,SRP002860,SRR171213,SRS144024,METAGENOMIC ,AMPLICON,Throat,241741,Oral,9,2,6112,2894,V13/V35,120
SRR046531.SRS046149,SRP002395,SRR046531,SRS046149,METAGENOMIC ,AMPLICON,Hard palate,241811,Oral,4,2,8453,4965,V13/V35,107
SRR172143.SRS099351,SRP002860,SRR172143,SRS099351,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241731,Skin,14,3,10634,6496,V13/V35,26
SRR044193.SRS015681,SRP002395,SRR044193,SRS015681,METAGENOMIC ,AMPLICON,Supragingival plaque,241845,Oral,8,2,7662,4414,V13/V35,82
SRR048082.SRS021940,SRP002395,SRR048082,SRS021940,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241739,Skin,14,3,6355,1393,V13/V35,16
SRR044969.SRS011565,SRP002395,SRR044969,SRS011565,METAGENOMIC ,AMPLICON,Palatine Tonsils,241834,Oral,5,2,5432,2731,V13/V35,82
SRR041341.SRS017349,SRP002395,SRR041341,SRS017349,METAGENOMIC ,AMPLICON,Tongue dorsum,241674,Oral,10,2,6492,3071,V3-V5,62
SRR044893.SRS011563,SRP002395,SRR044893,SRS011563,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241834,Oral,2,2,8988,6020,V13/V35,27
SRR045557.SRS019552,SRP002395,SRR045557,SRS019552,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241720,Skin,12,3,9163,5852,V13/V35,84
SRR048027.SRS023889,SRP002395,SRR048027,SRS023889,METAGENOMIC ,AMPLICON,Vaginal introitus,241755,Urogenital tract,17,4,32730,19272,V13/V35,35
SRR047235.SRS056259,SRP002395,SRR047235,SRS056259,METAGENOMIC ,AMPLICON,Stool,241769,Gastrointestinal tract,1,1,17818,10446,V13/V35,65
SRR048136.SRS020141,SRP002395,SRR048136,SRS020141,METAGENOMIC ,AMPLICON,Throat,241827,Oral,9,2,6458,2481,V13/V35,72
SRR040906.SRS023979,SRP002395,SRR040906,SRS023979,METAGENOMIC ,AMPLICON,Saliva,241704,Oral,6,2,4956,2483,V3-V5,104
SRR091460.SRS076803,SRP002860,SRR091460,SRS076803,METAGENOMIC ,AMPLICON,Subgingival plaque,257129,Oral,7,2,6742,2934,V3-V5,84
SRR046432.SRS050617,SRP002395,SRR046432,SRS050617,METAGENOMIC ,AMPLICON,Subgingival plaque,241880,Oral,7,2,6117,2841,V13/V35,97
SRR172544.SRS143559,SRP002860,SRR172544,SRS143559,METAGENOMIC ,AMPLICON,Posterior fornix,257127,Urogenital tract,16,4,4417,1191,V13/V35,12
SRR172584.SRS143586,SRP002860,SRR172584,SRS143586,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241892,Skin,11,3,4017,2637,V13/V35,45
SRR133723.SRS149564,SRP002860,SRR133723,SRS149564,METAGENOMIC ,AMPLICON,Subgingival plaque,257116,Oral,7,2,13111,6780,V3-V5,127
SRR172374.SRS148341,SRP002860,SRR172374,SRS148341,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241859,Skin,12,3,10738,4431,V13/V35,37
SRR041844.SRS024277,SRP002395,SRR041844,SRS024277,METAGENOMIC ,AMPLICON,Tongue dorsum,241712,Oral,10,2,7047,2895,V3-V5,61
SRR046393.SRS045215,SRP002395,SRR046393,SRS045215,METAGENOMIC ,AMPLICON,Subgingival plaque,241813,Oral,7,2,6601,2604,V13/V35,76
SRR047153.SRS048971,SRP002395,SRR047153,SRS048971,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241883,Skin,12,3,6433,5282,V13/V35,21
SRR172332.SRS148498,SRP002860,SRR172332,SRS148498,METAGENOMIC ,AMPLICON,Supragingival plaque,241886,Oral,8,2,6195,3730,V13/V35,107
SRR044828.SRS011167,SRP002395,SRR044828,SRS011167,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241686,Oral,2,2,5755,4395,V13/V35,57
SRR043904.SRS047772,SRP002395,SRR043904,SRS047772,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241823,Skin,12,3,15191,11267,V13/V35,18
SRR091541.SRS077472,SRP002860,SRR091541,SRS077472,METAGENOMIC ,AMPLICON,Supragingival plaque,268875,Oral,8,2,7587,4049,V3-V5,77
SRR192509.SRS023573,SRP002860,SRR192509,SRS023573,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241748,Skin,12,3,10257,8010,V1-V3,16
SRR046386.SRS062472,SRP002395,SRR046386,SRS062472,METAGENOMIC ,AMPLICON,Subgingival plaque,241718,Oral,7,2,21838,9234,V13/V35,100
SRR049595.SRS050987,SRP002395,SRR049595,SRS050987,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241892,Skin,11,3,4386,2331,V13/V35,25
SRR170431.SRS143417,SRP002860,SRR170431,SRS143417,METAGENOMIC ,AMPLICON,Stool,241731,Gastrointestinal tract,1,1,12430,10683,V13/V35,48
SRR171799.SRS098837,SRP002860,SRR171799,SRS098837,METAGENOMIC ,AMPLICON,Anterior nares,241761,Airways,0,0,4761,2093,V13/V35,54
SRR089867.SRS143707,SRP002860,SRR089867,SRS143707,METAGENOMIC ,AMPLICON,Throat,268875,Oral,9,2,3075,1457,V3-V5,42
SRR048591.SRS055961,SRP002395,SRR048591,SRS055961,METAGENOMIC ,AMPLICON,Buccal mucosa,241798,Oral,3,2,5710,3865,V13/V35,87
SRR170777.SRS142702,SRP002860,SRR170777,SRS142702,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241882,Skin,13,3,7955,4107,V13/V35,54
SRR046921.SRS063197,SRP002395,SRR046921,SRS063197,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241890,Oral,2,2,7519,4552,V13/V35,93
SRR331431.SRS077050,SRP002860,SRR331431,SRS077050,METAGENOMIC ,AMPLICON,Supragingival plaque,241881,Oral,8,2,4858,3099,V13/V35,96
SRR046857.SRS046196,SRP002395,SRR046857,SRS046196,METAGENOMIC ,AMPLICON,Buccal mucosa,241854,Oral,3,2,9282,5964,V13/V35,69
SRR044966.SRS011589,SRP002395,SRR044966,SRS011589,METAGENOMIC ,AMPLICON,Tongue dorsum,241783,Oral,10,2,7806,3788,V13/V35,86
SRR171013.SRS148440,SRP002860,SRR171013,SRS148440,METAGENOMIC ,AMPLICON,Throat,241866,Oral,9,2,6015,2981,V13/V35,62
SRR172484.SRS147410,SRP002860,SRR172484,SRS147410,METAGENOMIC ,AMPLICON,Throat,257115,Oral,9,2,11160,4028,V13/V35,95
SRR041862.SRS023204,SRP002395,SRR041862,SRS023204,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241767,Skin,12,3,5543,1487,V3-V5,27
SRR170289.SRS104073,SRP002860,SRR170289,SRS104073,METAGENOMIC ,AMPLICON,Subgingival plaque,241732,Oral,7,2,3294,1798,V13/V35,67
SRR045241.SRS011561,SRP002395,SRR045241,SRS011561,METAGENOMIC ,AMPLICON,Buccal mucosa,241834,Oral,3,2,4654,3615,V13/V35,68
SRR045593.SRS014281,SRP002395,SRR045593,SRS014281,METAGENOMIC ,AMPLICON,Throat,241825,Oral,9,2,6596,2655,V13/V35,115
SRR041559.SRS023928,SRP002395,SRR041559,SRS023928,METAGENOMIC ,AMPLICON,Hard palate,241725,Oral,4,2,4495,1950,V3-V5,76
SRR048777.SRS062445,SRP002395,SRR048777,SRS062445,METAGENOMIC ,AMPLICON,Vaginal introitus,268866,Urogenital tract,17,4,6906,1667,V13/V35,57
SRR049618.SRS048669,SRP002395,SRR049618,SRS048669,METAGENOMIC ,AMPLICON,Throat,241874,Oral,9,2,9110,4156,V13/V35,80
SRR136502.SRS076801,SRP002860,SRR136502,SRS076801,METAGENOMIC ,AMPLICON,Supragingival plaque,257129,Oral,8,2,9257,4470,V3-V5,77
SRR045605.SRS046855,SRP002395,SRR045605,SRS046855,METAGENOMIC ,AMPLICON,Palatine Tonsils,241812,Oral,5,2,10366,4155,V13/V35,90
SRR043733.SRS014752,SRP002395,SRR043733,SRS014752,METAGENOMIC ,AMPLICON,Hard palate,241824,Oral,4,2,4232,2390,V13/V35,44
SRR171991.SRS104981,SRP002860,SRR171991,SRS104981,METAGENOMIC ,AMPLICON,Tongue dorsum,241728,Oral,10,2,2054,792,V13/V35,41
SRR046809.SRS049139,SRP002395,SRR046809,SRS049139,METAGENOMIC ,AMPLICON,Throat,241890,Oral,9,2,4362,2773,V13/V35,38
SRR046448.SRS047158,SRP002395,SRR046448,SRS047158,METAGENOMIC ,AMPLICON,Subgingival plaque,241893,Oral,7,2,15998,7701,V13/V35,79
SRR045119.SRS011287,SRP002395,SRR045119,SRS011287,METAGENOMIC ,AMPLICON,Supragingival plaque,241748,Oral,8,2,5279,3085,V13/V35,64
SRR048228.SRS023496,SRP002395,SRR048228,SRS023496,METAGENOMIC ,AMPLICON,Saliva,241709,Oral,6,2,5545,2219,V13/V35,128
SRR172636.SRS147012,SRP002860,SRR172636,SRS147012,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241863,Skin,12,3,8750,4185,V13/V35,89
SRR133312.SRS148945,SRP002860,SRR133312,SRS148945,METAGENOMIC ,AMPLICON,Tongue dorsum,268880,Oral,10,2,6612,3568,V3-V5,82
SRR047219.SRS045460,SRP002395,SRR047219,SRS045460,METAGENOMIC ,AMPLICON,Subgingival plaque,241860,Oral,7,2,10479,5414,V13/V35,86
SRR047171.SRS043360,SRP002395,SRR047171,SRS043360,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241861,Skin,13,3,4473,2365,V13/V35,29
SRR044440.SRS016239,SRP002395,SRR044440,SRS016239,METAGENOMIC ,AMPLICON,Subgingival plaque,241687,Oral,7,2,9719,4738,V13/V35,81
SRR170379.SRS149516,SRP002860,SRR170379,SRS149516,METAGENOMIC ,AMPLICON,Supragingival plaque,257131,Oral,8,2,10053,5829,V13/V35,74
SRR041047.SRS020290,SRP002395,SRR041047,SRS020290,METAGENOMIC ,AMPLICON,Stool,241829,Gastrointestinal tract,1,1,6591,2917,V3-V5,68
SRR046631.SRS051071,SRP002395,SRR046631,SRS051071,METAGENOMIC ,AMPLICON,Buccal mucosa,241857,Oral,3,2,3459,1700,V13/V35,82
SRR328833.SRS063839,SRP002860,SRR328833,SRS063839,METAGENOMIC ,AMPLICON,Throat,257108,Oral,9,2,4332,1596,V13/V35,109
SRR044366.SRS016221,SRP002395,SRR044366,SRS016221,METAGENOMIC ,AMPLICON,Saliva,241687,Oral,6,2,6326,2618,V13/V35,76
SRR171005.SRS105098,SRP002860,SRR171005,SRS105098,METAGENOMIC ,AMPLICON,Throat,241885,Oral,9,2,5174,2755,V13/V35,97
SRR045908.SRS019830,SRP002395,SRR045908,SRS019830,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241790,Skin,12,3,8093,3946,V13/V35,51
SRR042025.SRS016841,SRP002395,SRR042025,SRS016841,METAGENOMIC ,AMPLICON,Stool,241745,Gastrointestinal tract,1,1,8237,4064,V3-V5,61
SRR047335.SRS063560,SRP002395,SRR047335,SRS063560,METAGENOMIC ,AMPLICON,Anterior nares,257130,Airways,0,0,11808,6522,V13/V35,98
SRR040712.SRS024568,SRP002395,SRR040712,SRS024568,METAGENOMIC ,AMPLICON,Stool,241833,Gastrointestinal tract,1,1,5569,2739,V3-V5,36
SRR167318.SRS098105,SRP002860,SRR167318,SRS098105,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241878,Skin,12,3,1970,726,V13/V35,29
SRR041024.SRS013825,SRP002395,SRR041024,SRS013825,METAGENOMIC ,AMPLICON,Buccal mucosa,241794,Oral,3,2,6120,4094,V3-V5,120
SRR201939.SRS147056,SRP002860,SRR201939,SRS147056,METAGENOMIC ,AMPLICON,Throat,268875,Oral,9,2,2803,1655,V1-V3,61
SRR043760.SRS015854,SRP002395,SRR043760,SRS015854,METAGENOMIC ,AMPLICON,Stool,241830,Gastrointestinal tract,1,1,12945,6838,V13/V35,82
SRR047876.SRS013786,SRP002395,SRR047876,SRS013786,METAGENOMIC ,AMPLICON,Supragingival plaque,241819,Oral,8,2,4217,2030,V13/V35,104
SRR046678.SRS048749,SRP002395,SRR046678,SRS048749,METAGENOMIC ,AMPLICON,Palatine Tonsils,241879,Oral,5,2,7553,1706,V13/V35,108
SRR045400.SRS011641,SRP002395,SRR045400,SRS011641,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241795,Skin,14,3,17317,14954,V13/V35,38
SRR048387.SRS022436,SRP002395,SRR048387,SRS022436,METAGENOMIC ,AMPLICON,Throat,241719,Oral,9,2,6200,2876,V13/V35,67
SRR044116.SRS015025,SRP002395,SRR044116,SRS015025,METAGENOMIC ,AMPLICON,Buccal mucosa,241718,Oral,3,2,4188,1959,V13/V35,87
SRR045401.SRS011578,SRP002395,SRR045401,SRS011578,METAGENOMIC ,AMPLICON,Anterior nares,241834,Airways,0,0,4255,3061,V13/V35,35
SRR047580.SRS046349,SRP002395,SRR047580,SRS046349,METAGENOMIC ,AMPLICON,Stool,241853,Gastrointestinal tract,1,1,12718,11485,V13/V35,54
SRR047207.SRS046514,SRP002395,SRR047207,SRS046514,METAGENOMIC ,AMPLICON,Subgingival plaque,241887,Oral,7,2,11789,5938,V13/V35,95
SRR047541.SRS019570,SRP002395,SRR047541,SRS019570,METAGENOMIC ,AMPLICON,Buccal mucosa,241720,Oral,3,2,12806,8978,V13/V35,108
SRR046908.SRS065086,SRP002395,SRR046908,SRS065086,METAGENOMIC ,AMPLICON,Buccal mucosa,241877,Oral,3,2,8634,5288,V13/V35,77
SRR041513.SRS016648,SRP002395,SRR041513,SRS016648,METAGENOMIC ,AMPLICON,Tongue dorsum,241713,Oral,10,2,6661,3872,V3-V5,61
SRR091384.SRS077264,SRP002860,SRR091384,SRS077264,METAGENOMIC ,AMPLICON,Tongue dorsum,257109,Oral,10,2,7891,2531,V3-V5,64
SRR041442.SRS018224,SRP002395,SRR041442,SRS018224,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241765,Skin,13,3,3260,2051,V3-V5,17
SRR043886.SRS015198,SRP002395,SRR043886,SRS015198,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241675,Skin,13,3,8767,2478,V13/V35,34
SRR045477.SRS011613,SRP002395,SRR045477,SRS011613,METAGENOMIC ,AMPLICON,Anterior nares,241783,Airways,0,0,10142,6088,V13/V35,103
SRR044473.SRS016020,SRP002395,SRR044473,SRS016020,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241708,Skin,12,3,12626,1854,V13/V35,26
SRR043973.SRS016279,SRP002395,SRR043973,SRS016279,METAGENOMIC ,AMPLICON,Throat,241681,Oral,9,2,6506,2422,V13/V35,108
SRR170994.SRS148292,SRP002860,SRR170994,SRS148292,METAGENOMIC ,AMPLICON,Left Retroauricular crease,257126,Skin,12,3,9202,5575,V13/V35,103
SRR041378.SRS018388,SRP002395,SRR041378,SRS018388,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241797,Oral,2,2,6596,4307,V3-V5,32
SRR046752.SRS065278,SRP002395,SRR046752,SRS065278,METAGENOMIC ,AMPLICON,Tongue dorsum,241850,Oral,10,2,9052,3960,V13/V35,75
SRR171034.SRS149671,SRP002860,SRR171034,SRS149671,METAGENOMIC ,AMPLICON,Tongue dorsum,241887,Oral,10,2,9053,5486,V13/V35,68
SRR049488.SRS063554,SRP002395,SRR049488,SRS063554,METAGENOMIC ,AMPLICON,Supragingival plaque,241784,Oral,8,2,13169,6309,V13/V35,117
SRR040952.SRS016722,SRP002395,SRR040952,SRS016722,METAGENOMIC ,AMPLICON,Throat,241836,Oral,9,2,3516,2124,V3-V5,71
SRR172558.SRS144120,SRP002860,SRR172558,SRS144120,METAGENOMIC ,AMPLICON,Throat,241869,Oral,9,2,5539,2669,V13/V35,109
SRR091071.SRS142842,SRP002860,SRR091071,SRS142842,METAGENOMIC ,AMPLICON,Tongue dorsum,257110,Oral,10,2,3745,1664,V3-V5,51
SRR047920.SRS024537,SRP002395,SRR047920,SRS024537,METAGENOMIC ,AMPLICON,Subgingival plaque,241819,Oral,7,2,11519,6303,V13/V35,129
SRR046023.SRS018864,SRP002395,SRR046023,SRS018864,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241716,Skin,13,3,5874,3818,V13/V35,29
SRR041148.SRS020304,SRP002395,SRR041148,SRS020304,METAGENOMIC ,AMPLICON,Hard palate,241829,Oral,4,2,5023,2464,V3-V5,107
SRR041532.SRS013714,SRP002395,SRR041532,SRS013714,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241725,Oral,2,2,4982,1720,V3-V5,35
SRR167312.SRS075951,SRP002860,SRR167312,SRS075951,METAGENOMIC ,AMPLICON,Buccal mucosa,241717,Oral,3,2,7785,5301,V13/V35,105
SRR047853.SRS020131,SRP002395,SRR047853,SRS020131,METAGENOMIC ,AMPLICON,Tongue dorsum,241827,Oral,10,2,5682,3371,V13/V35,41
SRR166933.SRS098504,SRP002860,SRR166933,SRS098504,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241892,Oral,2,2,6967,3650,V13/V35,84
SRR040900.SRS018151,SRP002395,SRR040900,SRS018151,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241828,Oral,2,2,4743,2565,V3-V5,29
SRR048679.SRS048690,SRP002395,SRR048679,SRS048690,METAGENOMIC ,AMPLICON,Posterior fornix,241726,Urogenital tract,16,4,12263,2098,V13/V35,14
SRR172927.SRS147267,SRP002860,SRR172927,SRS147267,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241853,Skin,13,3,2489,604,V13/V35,31
SRR089965.SRS103669,SRP002860,SRR089965,SRS103669,METAGENOMIC ,AMPLICON,Stool,268874,Gastrointestinal tract,1,1,6263,3430,V3-V5,67
SRR172454.SRS144682,SRP002860,SRR172454,SRS144682,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241779,Skin,12,3,9686,4957,V13/V35,29
SRR041817.SRS013386,SRP002395,SRR041817,SRS013386,METAGENOMIC ,AMPLICON,Stool,241666,Gastrointestinal tract,1,1,7410,4563,V3-V5,47
SRR172240.SRS143870,SRP002860,SRR172240,SRS143870,METAGENOMIC ,AMPLICON,Anterior nares,241885,Airways,0,0,4589,2626,V13/V35,53
SRR045677.SRS015423,SRP002395,SRR045677,SRS015423,METAGENOMIC ,AMPLICON,Mid vagina,241682,Urogenital tract,15,4,10394,2707,V13/V35,13
SRR166936.SRS075756,SRP002860,SRR166936,SRS075756,METAGENOMIC ,AMPLICON,Anterior nares,257124,Airways,0,0,8386,2353,V13/V35,84
SRR049385.SRS051170,SRP002395,SRR049385,SRS051170,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241891,Skin,12,3,16199,8057,V13/V35,31
SRR170491.SRS147893,SRP002860,SRR170491,SRS147893,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241874,Oral,2,2,6137,2324,V13/V35,81
SRR045460.SRS011359,SRP002395,SRR045460,SRS011359,METAGENOMIC ,AMPLICON,Tongue dorsum,241767,Oral,10,2,71572,27701,V13/V35,172
SRR328876.SRS147587,SRP002860,SRR328876,SRS147587,METAGENOMIC ,AMPLICON,Anterior nares,257112,Airways,0,0,14109,7424,V13/V35,98
SRR046612.SRS064809,SRP002395,SRR046612,SRS064809,METAGENOMIC ,AMPLICON,Buccal mucosa,241850,Oral,3,2,7383,6136,V13/V35,72
SRR044974.SRS011271,SRP002395,SRR044974,SRS011271,METAGENOMIC ,AMPLICON,Stool,241748,Gastrointestinal tract,1,1,7567,6036,V13/V35,68
SRR048160.SRS023440,SRP002395,SRR048160,SRS023440,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241766,Oral,2,2,5914,3255,V13/V35,38
SRR172571.SRS105096,SRP002860,SRR172571,SRS105096,METAGENOMIC ,AMPLICON,Palatine Tonsils,241885,Oral,5,2,9457,5139,V13/V35,95
SRR170302.SRS104384,SRP002860,SRR170302,SRS104384,METAGENOMIC ,AMPLICON,Tongue dorsum,241687,Oral,10,2,4449,1797,V13/V35,75
SRR049833.SRS049760,SRP002395,SRR049833,SRS049760,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241812,Skin,12,3,4618,1933,V13/V35,46
SRR046110.SRS014359,SRP002395,SRR046110,SRS014359,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241736,Skin,11,3,3849,2675,V13/V35,27
SRR049586.SRS064910,SRP002395,SRR049586,SRS064910,METAGENOMIC ,AMPLICON,Subgingival plaque,241865,Oral,7,2,10336,5269,V13/V35,155
SRR042867.SRS024108,SRP002395,SRR042867,SRS024108,METAGENOMIC ,AMPLICON,Hard palate,241724,Oral,4,2,3773,2558,V3-V5,93
SRR049409.SRS019705,SRP002395,SRR049409,SRS019705,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241779,Skin,12,3,5931,4493,V13/V35,45
SRR046821.SRS062514,SRP002395,SRR046821,SRS062514,METAGENOMIC ,AMPLICON,Supragingival plaque,241756,Oral,8,2,11002,6393,V13/V35,122
SRR043923.SRS015289,SRP002395,SRR043923,SRS015289,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241787,Skin,13,3,8059,2506,V13/V35,25
SRR044490.SRS015496,SRP002395,SRR044490,SRS015496,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241707,Skin,14,3,3318,2161,V13/V35,20
SRR041481.SRS044673,SRP002395,SRR041481,SRS044673,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241838,Skin,14,3,4470,2974,V3-V5,38
SRR048865.SRS065362,SRP002395,SRR048865,SRS065362,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241724,Skin,12,3,10857,9850,V13/V35,65
SRR041802.SRS016880,SRP002395,SRR041802,SRS016880,METAGENOMIC ,AMPLICON,Subgingival plaque,241745,Oral,7,2,9608,4543,V3-V5,121
SRR048455.SRS052440,SRP002395,SRR048455,SRS052440,METAGENOMIC ,AMPLICON,Supragingival plaque,241672,Oral,8,2,8188,3537,V13/V35,114
SRR041770.SRS013464,SRP002395,SRR041770,SRS013464,METAGENOMIC ,AMPLICON,Buccal mucosa,241666,Oral,3,2,5757,4521,V3-V5,69
SRR171761.SRS076959,SRP002860,SRR171761,SRS076959,METAGENOMIC ,AMPLICON,Palatine Tonsils,241701,Oral,5,2,10309,5465,V13/V35,102
SRR044154.SRS015768,SRP002395,SRR044154,SRS015768,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241685,Oral,2,2,9959,4018,V13/V35,43
SRR170304.SRS104283,SRP002860,SRR170304,SRS104283,METAGENOMIC ,AMPLICON,Buccal mucosa,241723,Oral,3,2,2975,1401,V13/V35,63
SRR044814.SRS011545,SRP002395,SRR044814,SRS011545,METAGENOMIC ,AMPLICON,Supragingival plaque,241837,Oral,8,2,6112,3193,V13/V35,104
SRR172317.SRS148486,SRP002860,SRR172317,SRS148486,METAGENOMIC ,AMPLICON,Tongue dorsum,241886,Oral,10,2,6057,3757,V13/V35,77
SRR047083.SRS064970,SRP002395,SRR047083,SRS064970,METAGENOMIC ,AMPLICON,Buccal mucosa,241865,Oral,3,2,7010,3832,V13/V35,74
SRR049313.SRS011651,SRP002395,SRR049313,SRS011651,METAGENOMIC ,AMPLICON,Posterior fornix,241795,Urogenital tract,16,4,5865,1851,V13/V35,28
SRR040787.SRS018009,SRP002395,SRR040787,SRS018009,METAGENOMIC ,AMPLICON,Tongue dorsum,241734,Oral,10,2,6457,3379,V3-V5,83
SRR172147.SRS077112,SRP002860,SRR172147,SRS077112,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241787,Skin,11,3,8545,7099,V13/V35,42
SRR091078.SRS101290,SRP002860,SRR091078,SRS101290,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241671,Oral,2,2,3175,2057,V3-V5,29
SRR170423.SRS148508,SRP002860,SRR170423,SRS148508,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241886,Skin,13,3,9707,7408,V13/V35,36
SRR044330.SRS018599,SRP002395,SRR044330,SRS018599,METAGENOMIC ,AMPLICON,Palatine Tonsils,241758,Oral,5,2,8352,4413,V13/V35,69
SRR044960.SRS011571,SRP002395,SRR044960,SRS011571,METAGENOMIC ,AMPLICON,Subgingival plaque,241834,Oral,7,2,5882,3210,V13/V35,83
SRR048690.SRS049206,SRP002395,SRR048690,SRS049206,METAGENOMIC ,AMPLICON,Anterior nares,241821,Airways,0,0,10500,4284,V13/V35,58
SRR048362.SRS021625,SRP002395,SRR048362,SRS021625,METAGENOMIC ,AMPLICON,Supragingival plaque,241668,Oral,8,2,4960,2637,V13/V35,68
SRR328653.SRS063789,SRP002860,SRR328653,SRS063789,METAGENOMIC ,AMPLICON,Supragingival plaque,257115,Oral,8,2,12185,6600,V13/V35,89
SRR171862.SRS143028,SRP002860,SRR171862,SRS143028,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,257114,Oral,2,2,3922,2693,V13/V35,29
SRR045303.SRS011165,SRP002395,SRR045303,SRS011165,METAGENOMIC ,AMPLICON,Buccal mucosa,241686,Oral,3,2,7102,4938,V13/V35,123
SRR048386.SRS022438,SRP002395,SRR048386,SRS022438,METAGENOMIC ,AMPLICON,Supragingival plaque,241719,Oral,8,2,7810,4009,V13/V35,119
SRR047239.SRS048080,SRP002395,SRR047239,SRS048080,METAGENOMIC ,AMPLICON,Buccal mucosa,241729,Oral,3,2,16522,11825,V13/V35,93
SRR172459.SRS148161,SRP002860,SRR172459,SRS148161,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241850,Skin,12,3,13972,9712,V13/V35,38
